List,Expense Type,Transfer Date,Expenses ฿,Total Expenses (฿),Vendor,End Subscript Date,Payment Recipe,Remark,Project,Product Cost,Quantity,Transfer Account,VAT 7%,Withholding 3%,Invoice,"Invoice Date ",Receipt,Subscription Remaining,Category,ID,User Account,Total Expenses,Expenses $
PlayHT AI Voice,Business,17/07/2024,"THB 1,449.89",1449.89,PlayHT (https://www.notion.so/PlayHT-2390613ba140813ca01ae7a8c40a9036?pvs=21),17/08/2024,,,,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,[Make by kbank],,,Invoice-023B652C-0006.pdf,,Receipt-2490-0653.pdf,⌛-383d.,,133,BoldTime,37.955235602094,39
Youtube,Business,18/07/2024,THB 299.00,299,,18/08/2024,,,,iNeuMarketing (https://www.notion.so/iNeuMarketing-2390613ba1408146b155d6d2231de220?pvs=21),,,,,,,,⌛-382d.,,135,indystyle33,7.82722513089,7.827
AI voice fastwork job,Business,10/06/2025,THB 700.00,700,PlayHT (https://www.notion.so/PlayHT-2390613ba140813ca01ae7a8c40a9036?pvs=21),,,,,,,,,,,,,,,130,,18.324607329843,
Tarisland,,23/06/2024,,0,Tarisland (https://www.notion.so/Tarisland-2390613ba14081f0a752c099f3cd7537?pvs=21),,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KS - NO Card,,,,,,,,140,indystyle33,0,4.86842
Microphone cable,,01/11/2023,,0,CT music (https://www.notion.so/CT-music-2390613ba14081728b57ce797b9b7954?pvs=21),,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KTB - No Card account,,,,,,,,138,indystyle33,0,11.66
"Book ",,08/09/2023,,0,,,,,,,,,,,,,,,,141,,0,
Xbox ตัดอัตโนมัติ,Business,19/08/2024,THB 99.00,99,,05/09/2024,,,,,,,,,,,,⌛-364d.,,137,naruecha.ps@hotmail.com,2.591623036649,
Tidti Google Ads,Business,25/08/2024,THB 260.00,260,,,,,,,,KS - 9788,,,,,1492016822623040_20240630.pdf,,,136,indystyle33,6.806282722513,
GPT4 Assistant,,28/06/2023,THB 20.00,20,Open AI (https://www.notion.so/Open-AI-2390613ba1408177821ace01fd7608da?pvs=21),27/07/2023 19:00 (GMT+7),,,,[Prototype] Introduction to AI in Digital Marketing  (https://www.notion.so/Prototype-Introduction-to-AI-in-Digital-Marketing-2390613ba14081059400dabe9a88c83c?pvs=21),,,,,,,,⌛-769d.,,139,,0.523560209424,20
https://www.flexclip.com/editor/app?id=dce3f85791cdf076b2efa07903c56367 Video Editor,,15/07/2023,THB 13.99,13.99,FlexClip Video Editor (https://www.notion.so/FlexClip-Video-Editor-2390613ba14081c0b7dec10eed7fe312?pvs=21),14/08/2023 19:00 (GMT+7),,,,[Prototype] Introduction to AI in Digital Marketing  (https://www.notion.so/Prototype-Introduction-to-AI-in-Digital-Marketing-2390613ba14081059400dabe9a88c83c?pvs=21),,,,,,,,⌛-751d.,,142,BoldTime,0.366230366492,13.99
"Acoustic foam ",,19/11/2023,,0,Shoppee (https://www.notion.so/Shoppee-2390613ba1408180bbe3e298274d3545?pvs=21),,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KTB - No Card account,,,,,,,,147,indystyle33,0,32
Doom Ethernal,,27/12/2023,,0,Steam (https://www.notion.so/Steam-2390613ba14081d4a376ddb044a8d64e?pvs=21),,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KS - 9788,,,,,,,,146,indystyle33,0,6
"Book ",,25/09/2023,,0,,,,,,,,,,,,,,,,144,,0,
SEO Keyword research for Pinterest Affiliate marketing,,22/10/2023,,0,Ubersuggest (https://www.notion.so/Ubersuggest-2390613ba1408137a00de1ca9d1c4868?pvs=21),28/10/2023 → 28/10/2023,,,,Affiliate Marketing (https://www.notion.so/Affiliate-Marketing-2390613ba140811caae9e596e493e9a0?pvs=21),,KTB - Card account,,,,,,⌛-677d.,,148,indystyle33,0,12
Coral island,,29/12/2023,,0,Steam (https://www.notion.so/Steam-2390613ba14081d4a376ddb044a8d64e?pvs=21),,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KS - 9788,,,,,,,,150,indystyle33,0,12.5
"Book ",,25/09/2023,,0,,,,,,,,,,,,,,,,145,,0,
For ChatGPT Content,,09/10/2023,,0,Open AI (https://www.notion.so/Open-AI-2390613ba1408177821ace01fd7608da?pvs=21),08/11/2023,,,,AI Marketing Main Product (https://www.notion.so/AI-Marketing-Main-Product-2390613ba14081f2b885e57b45508957?pvs=21),,KTB - No Card account,,,,,,⌛-666d.,,151,indystyle33,0,20
disappear***,,01/06/2024,,0,,,,,,,,KS - 9788,,,,,,,,143,,0,15.7595
GamePass,,01/05/2024,,0,Xbox (https://www.notion.so/Xbox-2390613ba14081cd8faee9147373bc39?pvs=21),07/07/2024,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KS - 9788,,,,,,⌛-424d.,,149,naruecha.ps@hotmail.com,0,2.8
PlayHT Voice Generator,,08/09/2023,,0,PlayHT (https://www.notion.so/PlayHT-2390613ba140813ca01ae7a8c40a9036?pvs=21),08/10/2023,,,,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,KTB - Card account,,,,,,⌛-697d.,,152,BoldTime,0,40.7
Books,Business,01/07/2024,THB 928.44,928.44,B2S (https://www.notion.so/B2S-2390613ba1408140a389d910d4d09414?pvs=21),,,,,,,KS - 9788,,,,,,,,155,,24.304712041885,25.78947
"Book ",,25/09/2023,,0,,,,,,,,,,,,,,,,154,,0,
VGA GPU + Power Supply,,05/12/2023,,0,Advice (https://www.notion.so/Advice-2390613ba140817c8d9ee90b9d367b84?pvs=21),,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,Dept,,,,,,,,156,,0,380
"House Rental Deposit ",,19/09/2023,,0,,,,,,[Prototype] Introduction to AI in Digital Marketing  (https://www.notion.so/Prototype-Introduction-to-AI-in-Digital-Marketing-2390613ba14081059400dabe9a88c83c?pvs=21),,KS - 9788,,,,,,,,153,,0,57.15
Voice Geneator,,26/10/2023,,0,ElevenLabs - Prime AI Text to Speech | Voice Cloning (https://www.notion.so/ElevenLabs-Prime-AI-Text-to-Speech-Voice-Cloning-2390613ba14081a9981cda506be912a0?pvs=21),25/11/2023,,,,Voice Over (https://www.notion.so/Voice-Over-2390613ba14081a8bc31e6880f7fcf61?pvs=21),,KTB - Card account,,,,,,⌛-649d.,,160,indystyle33,0,11
Palworld,,20/01/2024,,0,Steam (https://www.notion.so/Steam-2390613ba14081d4a376ddb044a8d64e?pvs=21),,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KS - 9788,,,,,,,,157,,0,14
"Free trial Sound for Editor ",,28/11/2023,,0,Epidemic Sound (https://www.notion.so/Epidemic-Sound-2390613ba14081fa8104ded468d4b8e8?pvs=21),28/12/2023,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KTB - Card account,,,,,,⌛-616d.,,158,BoldTime,0,1
The Last of Us part I,,22/12/2023,,0,Steam (https://www.notion.so/Steam-2390613ba14081d4a376ddb044a8d64e?pvs=21),,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KS - 9788,,,,,,,,159,indystyle33,0,37
Youtube SEO/Assistant,,04/10/2023,,0,vidIQ (https://www.notion.so/vidIQ-2390613ba140815bb2fceb05684f35ff?pvs=21),04/11/2023,,,,AI Marketing Main Product (https://www.notion.so/AI-Marketing-Main-Product-2390613ba14081f2b885e57b45508957?pvs=21),,KS - 9788,,,,,,⌛-670d.,,167,indystyle33,0,53.3
Coral Island,,04/01/2024,,0,,,,,,,,,,,,,,,,165,,0,
Enshrounded,,29/01/2024,,0,Steam (https://www.notion.so/Steam-2390613ba14081d4a376ddb044a8d64e?pvs=21),,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KS - 9788,,,,,,,,162,,0,13.5
TL ID,,09/01/2024,,0,G2G (https://www.notion.so/G2G-2390613ba14081b6b744e593c8bc2b44?pvs=21),,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KS - 9788,,,,,,,,164,,0,8.2
"Book ",,25/09/2023,,0,,,,,,,,,,,,,,,,163,,0,
https://play.ht/?via=uniteai Voive Generator,,11/07/2023,THB 39.00,39,PlayHT (https://www.notion.so/PlayHT-2390613ba140813ca01ae7a8c40a9036?pvs=21),10/08/2023 19:00 (GMT+7),,,,[Prototype] Introduction to AI in Digital Marketing  (https://www.notion.so/Prototype-Introduction-to-AI-in-Digital-Marketing-2390613ba14081059400dabe9a88c83c?pvs=21),,,,,,,,⌛-755d.,,166,indystyle33,1.020942408377,39
Roblox,,11/11/2023,,0,Roblox (https://www.notion.so/Roblox-2390613ba14081dea08fdb2cdef35021?pvs=21),,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KTB - No Card account,,,,,,,,161,indystyle33,0,4.7
Youtube,,01/06/2024,,0,Google : youtube (https://www.notion.so/Google-youtube-2390613ba14081a89f18ce1a9678cd74?pvs=21),,,,,,,KS - 9788,,,,,,,,170,,0,8
"Book ",,08/09/2023,,0,,,,,,,,,,,,,,,,172,,0,
"Book ",,25/09/2023,,0,,,,,,,,,,,,,,,,173,,0,
Beer,Personal,30/06/2024,,0,,,,,,,,KS - 9788,,,,,,,,168,indystyle33,0,3.02631
Youtube,Business,19/08/2024,THB 240.00,240,,16/09/2024,,,,,,,,,,,,⌛-353d.,,175,indystyle33,6.282722513089,
Game,,02/06/2024,,0,Steam (https://www.notion.so/Steam-2390613ba14081d4a376ddb044a8d64e?pvs=21),,,,,,,KS - 9788,,,,,,,,171,,0,13.324
Unshounded,,29/01/2024,,0,,,,,,,,,,,,,,,,169,,0,
For Assistant,,31/07/2023,THB 20.00,20,Open AI (https://www.notion.so/Open-AI-2390613ba1408177821ace01fd7608da?pvs=21),31/08/2023 19:00 (GMT+7),,,,[Prototype] Introduction to AI in Digital Marketing  (https://www.notion.so/Prototype-Introduction-to-AI-in-Digital-Marketing-2390613ba14081059400dabe9a88c83c?pvs=21),,,,,,,,⌛-734d.,,174,,0.523560209424,20
Windows10,,05/12/2023,,0,Windows (https://www.notion.so/Windows-2390613ba14081899c73e35b71ac2fee?pvs=21),,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KTB - No Card account,,,,,,,,178,indystyle33,0,15.57
Roblox,,24/10/2023,,0,Roblox (https://www.notion.so/Roblox-2390613ba14081dea08fdb2cdef35021?pvs=21),,,,,SSticky Hand TV [Streamer] (https://www.notion.so/SSticky-Hand-TV-Streamer-2390613ba1408196b7eae83cc4d7600e?pvs=21),,KTB - Card account,,,,,,,,176,neozoul47,0,20.25
TradingView,,04/06/2024,,0,trading view (https://www.notion.so/trading-view-2390613ba14081cda118cdf102b98df3?pvs=21),04/07/2024,,,,,,KS - 9788,,,,,,⌛-427d.,,177,indystyle33,0,16
AutomateOS domain | Name Cheap,Business,25/07/2025,THB 50.00,50,Namecheap (https://www.notion.so/Namecheap-2390613ba14081c2a183d086de1fec64?pvs=21),,,,,,,,,,,,,,Software,179,,1.30890052356,
Trang Trip,Personal,08/07/2025 → 31/07/2025,"THB 3,431.79",3431.79,,,,,,,,,,,,,,,,180,,89.837434554974,
Herb,Business,04/07/2025,THB 65.00,65,,,,,,,,,,,,,,,Utility,181,,1.701570680628,
JM,Business,06/07/2025,THB 72.00,72,,,,,,,,,,,,,,,,182,,1.884816753927,
Herb (1),Business,16/07/2025,THB 75.00,75,,,,,,,,,,,,,,,Utility,183,,1.96335078534,
Herb (2),Business,20/07/2025,THB 75.00,75,,,,,,,,,,,,,,,Utility,184,,1.96335078534,
To KTB,Business,21/07/2025,THB 170.00,170,,,,,,,,,,,,,,,,185,,4.450261780105,
Cigg,,21/08/2025,,0,,,,,,,,,,,,,,,,186,,0,
Cigg,Business,21/07/2025,THB 50.00,50,,,,,,,,,,,,,,,Utility,187,,1.30890052356,
Herb (3),Business,23/07/2025,THB 75.00,75,,,,,,,,,,,,,,,Utility,188,,1.96335078534,
Cigg (1),Business,29/07/2025,THB 50.00,50,,,,,,,,,,,,,,,Utility,189,,1.30890052356,
Herb (4),Business,31/07/2025,THB 75.00,75,,,,,,,,,,,,,,,Utility,190,,1.96335078534,
Crafttomation101,Business,20/07/2025,THB 100.00,100,Steam (https://www.notion.so/Steam-2390613ba14081d4a376ddb044a8d64e?pvs=21),,,,,,,,,,,,,,Learning,191,,2.61780104712,
Satisfactory,Business,04/07/2025,THB 504.00,504,Steam (https://www.notion.so/Steam-2390613ba14081d4a376ddb044a8d64e?pvs=21),,,,,,,,,,,,,,Learning,192,,13.193717277487,
Sugar,Business,31/07/2025,THB 70.00,70,,,,,,,,,,,,,,,Utility,193,,1.832460732984,
HONGTHAI,Business,18/07/2025,THB 44.00,44,,,,,,,,,,,,,,,Utility,194,,1.151832460733,
NF TV share Mic,Business,05/07/2025,THB 105.00,105,,05/08/2025,,,,,,,,,,,,⌛-30d.,Entertain,195,,2.748691099476,
TopUp,Business,20/07/2025,THB 20.00,20,TrueMove (https://www.notion.so/TrueMove-2420613ba1408016a9fac2d50dd1c8c2?pvs=21),,,,,,,,,,,,,,Utility,196,,0.523560209424,
Personal Spending,Personal,01/07/2025 → 27/07/2025,THB 583.00,583,,,,,,,,,,,,,,,,197,,15.261780104712,
Google AI Pro 2TB (Google One),Business,15/07/2025,THB 375.00,375,Google (https://www.notion.so/Google-2390613ba140811ea8c1fb9d2c091110?pvs=21),12/08/2025,,Auto Renew.,,,,,,,,,,⌛-23d.,Software,198,,9.816753926702,
"Domain name “AutomateOS .dev , .app”",Business,01/07/2025,THB 476.45,476.45,Namecheap (https://www.notion.so/Namecheap-2390613ba14081c2a183d086de1fec64?pvs=21),25/07/2026,,Price On sale 80%,,,,,,,,,,⌛323d.,Software,199,,12.472513089005,
Youtube,Business,01/08/2025,THB 300.00,300,Google : youtube (https://www.notion.so/Google-youtube-2390613ba14081a89f18ce1a9678cd74?pvs=21),14/08/2025,,,,,,,,,,,,⌛-21d.,"Entertain, Learning",200,,7.853403141361,
Canva freetrial,Business,12/08/2025,THB 0.00,0,,12/09/2025,,,,,,PayPal,,,,,,⌛7d.,,201,naruecha.jtg,0,
